Location,Latitude,Longitude,Emergency,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time
"1059 18TH AVE SE,Minneapolis,MN",44.989656,-93.22694,Xerxes,1,1,Como,University,4,02/24/2018,02:50
"316 12th Ave se,Minneapolis,MN",44.981081,-93.238709,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:53
"1059 18TH AVE SE,Minneapolis,MN",44.989656,-93.22694,Xerxes,1,1,Como,University,4,02/24/2018,02:54
"251 27TH AVE SE,Minneapolis,MN",44.971835999999996,-93.21899599999999,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,02:57
"1322 7th st se,Minneapolis,MN",44.983531,-93.233672,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,14:58
"1016 2ND ST SE,Minneapolis,MN",44.980481,-93.242795,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:09
"814 12TH AVE SE,Minneapolis,MN",44.98595,-93.23479300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,15:09
"234 11TH AV SE,Minneapolis,MN",44.980681,-93.24143000000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:12
"818 12TH AVE SE,Minneapolis,MN",44.985962,-93.23478399999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,15:12
"1408 7th st se,Minneapolis,MN",44.9831,-93.233062,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,15:17
"920 22nd ave se,Minneapolis,MN",44.987274,-93.221296,Xerxes,2,2,Como,University,4,02/24/2018,15:17
"1032 2ND ST SE,Minneapolis,MN",44.98041,-93.24261700000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:19
"1055 2nd st se,Minneapolis,MN",44.980779,-93.242449,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:22
"1324 7th st se,Minneapolis,MN",44.983529,-93.233666,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,15:28
"251 27TH AVE SE,Minneapolis,MN",44.971835999999996,-93.21899599999999,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,03:38
"1018 2ND ST SE,Minneapolis,MN",44.980472,-93.242772,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:41
"3358 4ST ST E,Minneapolis,MN",44.969514000000004,-93.20879599999999,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,15:41
"523 2ND ST SE,Minneapolis,MN",44.983275,-93.24871800000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:44
"520 2ND ST SE,Minneapolis,MN",44.982896000000004,-93.249176,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:49
"633 2 ST SE,Minneapolis,MN",44.982991,-93.24754899999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,03:50
"521 2nd st se,Minneapolis,MN",44.983331,-93.24868599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:00
"2600 UNIVERSITY AVE SE,Minneapolis,MN",44.972331,-93.22008199999999,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,04:12
"553 2ND ST SE,Minneapolis,MN",44.983212,-93.24856199999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:20
"236 11th ave se,Minneapolis,MN",44.980697,-93.24140899999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:25
"311 11TH AVE SE,Minneapolis,MN",44.981725,-93.24067099999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:39
"623 2ND ST SE,Minneapolis,MN",44.983026,-93.247641,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:42
"2600 UNIVERSITY AVE SE,Minneapolis,MN",44.972331,-93.22008199999999,Xerxes,2,2,Prospect Park - East River Road,University,4,02/24/2018,04:43
"1022 2ND ST SE,Minneapolis,MN",44.980455,-93.242728,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,04:43
"521 2ND ST SE,Minneapolis,MN",44.983331,-93.24868599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,05:32
"519 2ND ST SE,Minneapolis,MN",44.983473,-93.249066,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,05:33
"416 2nd Ave SE,Minneapolis,MN",44.987384999999996,-93.252558,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:30
"514 3rd ave se,Minneapolis,MN",44.988017,-93.249872,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:40
"320 3rd ave se,Minneapolis,MN",44.986290999999994,-93.25114599999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:41
"612 3rd ave s e,Minneapolis,MN",44.988772999999995,-93.249615,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:46
"1022 12th ave se ,Minneapolis,MN",44.988541999999995,-93.23419200000001,Xerxes,2,2,Como,University,4,02/24/2018,08:47
"1074 12th Ave se ,Minneapolis,MN",44.990136,-93.23433,Xerxes,2,2,Como,University,4,02/24/2018,08:51
"308 3RD AVE SE,Minneapolis,MN",44.985937,-93.251424,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:52
"308 3rd ave se,Minneapolis,MN",44.985937,-93.251424,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,08:57
"500 4TH AVE SE,Minneapolis,MN",44.987094,-93.249114,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:02
"400 5th ave se,Minneapolis,MN",44.985482,-93.248271,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:13
"306 3rd ave se ,Minneapolis,MN",44.985844,-93.251497,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:14
"408 5th ave se,Minneapolis,MN",44.985797,-93.248017,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:17
"324 4th ave se ,Minneapolis,MN",44.985614,-93.249992,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:18
"1210 12th Ave SE ,Minneapolis,MN",44.991434999999996,-93.23459,Xerxes,2,2,Como,University,4,02/24/2018,09:33
"322 4th av se,Minneapolis,MN",44.985603000000005,-93.25,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:35
"320 4th ave se,Minneapolis,MN",44.985593,-93.25000899999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:36
"1018 13th Ave SE ,Minneapolis,MN",44.988422,-93.233032,Xerxes,2,2,Como,University,4,02/24/2018,09:36
"318 5th ave se,Minneapolis,MN",44.984802,-93.248369,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:41
"600 5TH AVE SE,Minneapolis,MN",44.987453,-93.246725,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:41
"518 5TH AVE SE,Minneapolis,MN",44.986957000000004,-93.24710300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:46
"1076 13th Ave s e,Minneapolis,MN",44.990245,-93.233041,Xerxes,2,2,Como,University,4,02/24/2018,09:48
"624 5th ave se,Minneapolis,MN",44.987501,-93.24608,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:55
"508 5th ave se,Minneapolis,MN",44.986701000000004,-93.247298,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,09:56
"737 east river pkwy,Minneapolis,MN",44.969626,-93.227408,Xerxes,2,2,University of Minnesota,University,4,02/24/2018,09:59
"622 5th ave se,Minneapolis,MN",44.987481,-93.246096,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:00
"420 6TH AVE SE,Minneapolis,MN",44.985316999999995,-93.24656800000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:11
"322 5th ave se,Minneapolis,MN",44.984899,-93.248294,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:14
"302 5th ave se,Minneapolis,MN",44.984415000000006,-93.24866999999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:15
"418 6th ave se,Minneapolis,MN",44.985302000000004,-93.24658000000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:16
"608 4th ave se,Minneapolis,MN",44.988391,-93.248087,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:24
"712 5th ave se,Minneapolis,MN",44.988766999999996,-93.245338,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:28
"304 4th ave se,Minneapolis,MN",44.98527,-93.25027,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:29
"316 4th Ave se,Minneapolis,MN",44.985665000000004,-93.25009200000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:30
"332 13TH AVE SE,Minneapolis,MN",44.980582,-93.237185,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:33
"618 5th ave se,Minneapolis,MN",44.987442,-93.246128,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:33
"626 4th ave se,Minneapolis,MN",44.988723,-93.24782900000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:38
"1410 talmage Ave s e ,Minneapolis,MN",44.989490999999994,-93.231339,Xerxes,2,1,Como,University,4,02/24/2018,10:38
"1054 13th Ave SE ,Minneapolis,MN",44.98943,-93.233317,Xerxes,2,2,Como,University,4,02/24/2018,10:39
"416 6th ave se,Minneapolis,MN",44.985287,-93.24659100000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:42
"306 5TH AVE SE,Minneapolis,MN",44.984512,-93.248595,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:43
"1074 13th AVE SE ,Minneapolis,MN",44.990136,-93.233029,Xerxes,2,2,Como,University,4,02/24/2018,10:43
"614 6th ave se,Minneapolis,MN",44.987517,-93.24483599999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:46
"606 4th ave se,Minneapolis,MN",44.988344,-93.24812299999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:48
"408 6TH AVE SE,Minneapolis,MN",44.985228,-93.246638,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:52
"604 5th ave se,Minneapolis,MN",44.987491,-93.24669300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,10:55
"606 5th ave se,Minneapolis,MN",44.987325,-93.246223,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:00
"608 5th ave se,Minneapolis,MN",44.987345,-93.246207,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:00
"720 6th ave se,Minneapolis,MN",44.988357,-93.24373299999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:02
"314 6TH AVE SE,Minneapolis,MN",44.984119,-93.247126,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:05
"716 6th ave se,Minneapolis,MN",44.988365,-93.24415400000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:06
"620 6th Ave se,Minneapolis,MN",44.987583,-93.244783,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:08
"406 6th ave se,Minneapolis,MN",44.985213,-93.246649,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:09
"612 6th ave se,Minneapolis,MN",44.987331,-93.24454399999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:16
"1026 14th Ave s e,Minneapolis,MN",44.988676,-93.231799,Xerxes,2,1,Como,University,4,02/24/2018,11:17
"514 7th ave se,Minneapolis,MN",44.985569,-93.244111,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:19
"416 7TH AVE SE,Minneapolis,MN",44.984696,-93.244837,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:24
"628 7TH AVE SE,Minneapolis,MN",44.986936,-93.243085,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:29
"524 7th ave se,Minneapolis,MN",44.985642,-93.24405300000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:32
"1038 16th Ave SE ,Minneapolis,MN",44.988984,-93.22929,Xerxes,2,1,Como,University,4,02/24/2018,11:39
"1072 15th Ave SE ,Minneapolis,MN",44.9901,-93.23042199999999,Xerxes,2,1,Como,University,4,02/24/2018,11:42
"722 7th ave se,Minneapolis,MN",44.987753999999995,-93.242483,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:44
"702 6th ave se,Minneapolis,MN",44.987937,-93.244501,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:44
"324 8th ave se,Minneapolis,MN",44.983273,-93.24407,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:45
"212 8th ave se,Minneapolis,MN",44.981983,-93.24553399999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:46
"710 6th ave se,Minneapolis,MN",44.988182,-93.244303,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:46
"404 8th Ave se,Minneapolis,MN",44.984039,-93.24393,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:47
"408 7TH AVE SE,Minneapolis,MN",44.984497,-93.244996,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:47
"208 8th ave se,Minneapolis,MN",44.981945,-93.245565,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:48
"328 7th ave se,Minneapolis,MN",44.983532000000004,-93.245743,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:48
"502 4th ave se,Minneapolis,MN",44.987065,-93.24883100000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:50
"206 8th ave se,Minneapolis,MN",44.981926,-93.24558,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,11:53
"1046 13th Ave s e ,Minneapolis,MN",44.989266,-93.233317,Xerxes,2,2,Como,University,4,02/24/2018,11:54
"801 UNIVERSITY AVE SE,Minneapolis,MN",44.982941,-93.244461,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:03
"299 5TH AVE SE,Minneapolis,MN",44.984485,-93.24904599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:06
"299 5ave se,Minneapolis,MN",44.984485,-93.24904599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:06
"700 7th st se,Minneapolis,MN",44.987046,-93.243013,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:13
"808 7th st se,Minneapolis,MN",44.986545,-93.24122,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:14
"600 8TH AVE SE,Minneapolis,MN",44.985787,-93.242538,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:15
"713 UNIVERSITY AVE SE,Minneapolis,MN",44.983118,-93.245641,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:18
"812 SE 4TH ST,Minneapolis,MN",44.983401,-93.24351899999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:18
"316 8th ave se,Minneapolis,MN",44.983179,-93.244141,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:19
"808 7TH ST SE,Minneapolis,MN",44.986545,-93.24122,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:19
"310 7th st se,Minneapolis,MN",44.989360999999995,-93.248926,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:19
"200 5th avenue se,Minneapolis,MN",44.983599,-93.249239,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:20
"432 6th st se,Minneapolis,MN",44.987353000000006,-93.247345,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:48
"820 11th ave se,Minneapolis,MN",44.986851,-93.236176,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:50
"204 6th st se,Minneapolis,MN",44.989173,-93.251038,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:50
"512 11th ave se,Minneapolis,MN",44.983584,-93.238652,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:51
"924 5th st se,Minneapolis,MN",44.983637,-93.24117700000001,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:51
"514 11th ave se,Minneapolis,MN",44.983606,-93.238364,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:54
"628 11th ave se,Minneapolis,MN",44.984802,-93.23748,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:54
"704 6TH ST SE,Minneapolis,MN",44.986246,-93.243742,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:55
"1022 5th st se,Minneapolis,MN",44.983129,-93.239793,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:56
"600 MAIN ST SE,Minneapolis,MN",44.980705,-93.249633,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:57
"920 6th st Se,Minneapolis,MN",44.9849,-93.240368,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:58
"1329 7th st se,Minneapolis,MN",44.983558,-93.233738,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:01
"609 13th Ave se,Minneapolis,MN",44.983554999999996,-93.235738,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:07
"819 13TH AVE SE,Minneapolis,MN",44.985312,-93.233773,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:12
"715 8TH AVE SE,Minneapolis,MN",44.987414,-93.241635,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:12
"605 9 1/2 AVE SE,Minneapolis,MN",44.987245,-93.257116,Xerxes,3,3,Nicollet Island - East Bank,University,4,02/25/2018,13:20
"715 9TH AVE SE,Minneapolis,MN",44.986759,-93.239994,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:32
"1511 8th st se,Minneapolis,MN",44.983843,-93.230613,Xerxes,2,2,University of Minnesota,University,4,02/25/2018,13:35
"1427 7TH ST SE,Minneapolis,MN",44.983166,-93.23275799999999,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:37
"713 9TH AVE SE,Minneapolis,MN",44.986855,-93.240011,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:38
"813 11th ave se,Minneapolis,MN",44.986504,-93.236463,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:39
"421 6th st ze,Minneapolis,MN",44.987984000000004,-93.247222,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:41
"1211 6th st se,Minneapolis,MN",44.983502,-93.236827,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:44
"315 7th st se,Minneapolis,MN",44.989885,-93.248152,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:46
"429 9th st se,Minneapolis,MN",44.990417,-93.245276,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:49
"1401 7th st se,Minneapolis,MN",44.983431,-93.233419,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:51
"1507 8th Ave se,Minneapolis,MN",44.987725,-93.24100200000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:53
"435 7TH ST SE,Minneapolis,MN",44.988858,-93.246323,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:54
"711 6thave se,Minneapolis,MN",44.988393,-93.244388,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,13:59
"338 ulysses st ne ,Minneapolis,MN",44.991514,-93.235878,Xerxes,3,1,Como,University,4,02/25/2018,14:00
"1023 15th Ave se,Minneapolis,MN",44.988579,-93.23078199999999,Xerxes,3,1,Como,University,4,02/25/2018,14:06
"729 8th ave se,Minneapolis,MN",44.987691999999996,-93.241449,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:07
"607 9 1/2 ave se,Minneapolis,MN",44.987245,-93.257116,Xerxes,3,3,Nicollet Island - East Bank,University,4,02/25/2018,14:12
"1095 15th Ave se,Minneapolis,MN",44.990665,-93.231077,Xerxes,3,1,Como,University,4,02/25/2018,14:32
"959 17TH AVE SE,Minneapolis,MN",44.986425,-93.228903,Xerxes,2,2,Como,University,4,02/25/2018,14:33
"1319 7TH ST SE,Minneapolis,MN",44.983837,-93.23376400000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:37
"869 19th Ave se,Minneapolis,MN",44.985489,-93.22588,Xerxes,2,2,Como,University,4,02/25/2018,14:39
"1423 7th st se,Minneapolis,MN",44.983181,-93.232796,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:48
"1407 7TH ST SE,Minneapolis,MN",44.983255,-93.232979,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:48
"857 19th ave se,Minneapolis,MN",44.985161,-93.225882,Xerxes,2,2,Como,University,4,02/25/2018,14:48
"319 12TH AVE SE,Minneapolis,MN",44.981288,-93.239127,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:50
"1039 12th ave se,Minneapolis,MN",44.989024,-93.234595,Xerxes,2,2,Como,University,4,02/25/2018,14:50
"1403 7TH ST SE,Minneapolis,MN",44.983371999999996,-93.233273,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,14:53
"1063 13th ave se,Minneapolis,MN",44.989819,-93.233614,Xerxes,2,2,Como,University,4,02/25/2018,14:59
"1083 15th Ave se,Minneapolis,MN",44.990339,-93.231001,Xerxes,3,1,Como,University,4,02/25/2018,15:00
"891 21st ave se,Minneapolis,MN",44.986441,-93.223148,Xerxes,2,2,Como,University,4,02/25/2018,15:10
"1093 17th Ave se,Minneapolis,MN",44.990611,-93.228215,Xerxes,3,1,Como,University,4,02/25/2018,15:27
"907 22nd ave se,Minneapolis,MN",44.986916,-93.221822,Xerxes,2,2,Como,University,4,02/25/2018,15:29
"917 20TH AVE SE,Minneapolis,MN",44.987131,-93.224527,Xerxes,2,2,Como,University,4,02/25/2018,15:47
"851 18th ave se,Minneapolis,MN",44.985186,-93.226925,Xerxes,2,2,Como,University,4,02/25/2018,15:53
"2119 30 ave s,Minneapolis,MN",44.961379,-93.22793,Xerxes,2,2,Seward,Longfellow,4,02/25/2018,15:58
"1415 7TH ST SE,Minneapolis,MN",44.983463,-93.232619,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,16:20
"1217 FAIRMONT ST SE,Minneapolis,MN",44.986021,-93.226922,Xerxes,2,2,Como,University,4,02/25/2018,16:23
"517 3rd ave se,Minneapolis,MN",44.988422,-93.250253,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,08:27
"519 3rd ave se,Minneapolis,MN",44.988537,-93.250224,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,08:31
"417 6th ave se,Minneapolis,MN",44.985448,-93.246849,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:11
"419 6th ave se,Minneapolis,MN",44.985462,-93.246838,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:18
"307 4TH AVE SE,Minneapolis,MN",44.985434999999995,-93.250741,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:22
"511 4TH AVE SE,Minneapolis,MN",44.987531,-93.249064,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:24
"623 5th ave se,Minneapolis,MN",44.988197,-93.24649000000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:38
"421 6th ave SE,Minneapolis,MN",44.985475,-93.246827,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:45
"307 5th ave se,Minneapolis,MN",44.984871000000005,-93.249038,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,09:49
"331 3RD AVE SE,Minneapolis,MN",44.986419,-93.25174100000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:11
"405 7TH AVE SE,Minneapolis,MN",44.984747,-93.245511,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:13
"407 8th Ave se,Minneapolis,MN",44.984097,-93.243884,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:16
"325 5th ave se,Minneapolis,MN",44.985178999999995,-93.248817,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:16
"719 7th ave se,Minneapolis,MN",44.988040000000005,-93.24306800000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:17
"521 7th ave se,Minneapolis,MN",44.986106,-93.244427,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:19
"309 5th ave se,Minneapolis,MN",44.984955,-93.248991,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:20
"509 8TH AVE SE,Minneapolis,MN",44.985253,-93.24328299999999,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:25
"517 5ST AV SE,Minneapolis,MN",44.986883,-93.247159,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:25
"417 8TH AVE SE,Minneapolis,MN",44.984434,-93.243861,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:30
"419 7TH AVE SE,Minneapolis,MN",44.984995,-93.245393,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:30
"321 7TH AVE SE,Minneapolis,MN",44.984059,-93.246133,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:31
"321 8th ave se,Minneapolis,MN",44.983554999999996,-93.244671,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:36
"323 8th ave se,Minneapolis,MN",44.983618,-93.244623,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:40
"325 8th Ave se,Minneapolis,MN",44.983668,-93.24454300000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:44
"203 7th ave se,Minneapolis,MN",44.982509,-93.247236,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:49
"209 7th ave se,Minneapolis,MN",44.982566,-93.24719,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,10:53
"303 8th ave se,Minneapolis,MN",44.982994,-93.2451,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:00
"309 8th ave se,Minneapolis,MN",44.983181,-93.244957,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:00
"429 8TH AVE SE,Minneapolis,MN",44.984716,-93.24378,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:00
"311 8th ave se,Minneapolis,MN",44.983243,-93.24490899999999,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:06
"307 8TH AVE SE Minneapolis,Minneapolis,MN",44.983119,-93.245005,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:09
"311 5TH AVE SE,Minneapolis,MN",44.98502,-93.248897,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:11
"705 9TH AVE SE,Minneapolis,MN",44.986618,-93.240526,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:20
"701 8th ave se,Minneapolis,MN",44.986771000000005,-93.241765,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:21
"719 5TH AVE SE,Minneapolis,MN",44.989028000000005,-93.24578199999999,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:21
"421 11th Ave se,Minneapolis,MN",44.982773,-93.23944200000001,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:22
"707 11th ave se,Minneapolis,MN",44.985553,-93.237803,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:24
"703 8th ave se,Minneapolis,MN",44.98687,-93.241686,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:24
"211 7th Ave Se,Minneapolis,MN",44.982585,-93.247174,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:27
"711 7TH ST SE,Minneapolis,MN",44.987072999999995,-93.242561,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:30
"611 9 1/2 ave se,Minneapolis,MN",44.987245,-93.257116,Xerxes,3,3,Nicollet Island - East Bank,University,4,02/25/2018,11:48
"817 11 7th ave se,Minneapolis,MN",44.988273,-93.242396,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:51
"811 11TH AVE SE Minneapolis,Minneapolis,MN",44.986504,-93.236463,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:52
"721 11th ave se,Minneapolis,MN",44.985795,-93.237612,Xerxes,3,3,Marcy Holmes,University,4,02/25/2018,11:53
