Location,Latitude,Longitude,Ward,Community,Neighborhood,Day,Tow_Zone,Date,Time,Emergency
"500 E 15TH ST ,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,03:01,Olive
"1400 PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,02:48,Olive
"1100 BLOCK EMERSON AVE N,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,02:30,Olive
"3300 BLOCK 23RD AVE S,Minneapolis,MN",44.94279,-93.23891400000001,9,Powderhorn,Corcoran,1,6,01/16/2018,02:17,Olive
"700 E 15TH ST ,Minneapolis,MN",44.968059999999994,-93.265063,7,Central,Elliot Park,1,3,01/16/2018,03:35,Olive
"500 W 61ST ST,Minneapolis,MN",44.892505,-93.269085,11,Nokomis,Diamond Lake,1,5,01/16/2018,04:37,Olive
"3 15TH ST W,Minneapolis,MN",44.967585,-93.278308,7,Central,Loring Park,1,3,01/16/2018,01:45,Olive
"600 BLOCK 15TH ST E,Minneapolis,MN",44.968057,-93.267635,6,Central,Elliot Park,1,3,01/16/2018,01:50,Olive
"1300 BLOCK PORTLAND AVE S,Minneapolis,MN",44.969367999999996,-93.268011,7,Central,Elliot Park,1,3,01/16/2018,02:00,Olive
"610 MAIN ST SE,Minneapolis,MN",44.98166,-93.248544,3,University,Marcy Holmes,1,4,01/16/2018,02:15,Olive
"1400 BLOCK PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,02:30,Olive
"500 E 15TH ST ,Minneapolis,MN",44.968301000000004,-93.268698,7,Central,Elliot Park,1,3,01/16/2018,03:35,Olive
"500 W 61ST ST ,Minneapolis,MN",44.89258,-93.285976,11,Southwest,Windom,1,5,01/16/2018,04:49,Olive
"3300 23RD AVE S,Minneapolis,MN",44.942788,-93.239255,9,Powderhorn,Corcoran,1,6,01/16/2018,03:24,Olive
"3500 23RD AVE S,Minneapolis,MN",44.939533000000004,-93.238901,9,Powderhorn,Corcoran,1,6,01/16/2018,03:25,Olive
"500 W 61ST ST ,Minneapolis,MN",44.89258,-93.285976,11,Southwest,Windom,1,5,01/16/2018,04:52,Olive
"2900 BLOOMINGTON AVE S,Minneapolis,MN",44.949969,-93.252886,9,Phillips,Midtown Phillips,1,3,01/16/2018,03:27,Olive
"2900 BLOOMINGTON AVE S,Minneapolis,MN",44.949969,-93.252886,9,Phillips,Midtown Phillips,1,3,01/16/2018,03:26,Olive
"3399 NICOLLET AVE S,Minneapolis,MN",44.941356,-93.277923,8,Powderhorn,Lyndale,1,5,01/16/2018,04:54,Olive
"3300 Nicollet ave ,Minneapolis,MN",44.942943,-93.277924,8,Powderhorn,Lyndale,1,5,01/16/2018,04:54,Olive
"1400 PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,03:32,Olive
"1100 VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,03:28,Olive
"218 5TH AVE SE,Minneapolis,MN",44.98413,-93.24932700000001,3,University,Marcy Holmes,1,4,01/16/2018,03:16,Olive
"3107 BLOOMINGTON AVE S,Minneapolis,MN",44.946248,-93.252483,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,01:43,Olive
"516 MAIN ST SE,Minneapolis,MN",44.982502000000004,-93.250629,3,University,Marcy Holmes,1,4,01/16/2018,03:15,Olive
"1400 PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,03:19,Olive
"3800 NICOLLET AVE S,Minneapolis,MN",44.933944,-93.278155,8,Southwest,King Field,1,5,01/16/2018,05:03,Olive
"2100 EMERSON AVE N ,Minneapolis,MN",45.000479999999996,-93.29384499999999,5,Near North,Hawthorne,1,1,01/16/2018,03:12,Olive
"3100 MINNEHAHA AVE S,Minneapolis,MN",44.946466,-93.233427,9,Longfellow,Longfellow,1,6,01/16/2018,04:01,Olive
"1300 BLOCK PORTLAND AVE S,Minneapolis,MN",44.969367999999996,-93.268011,7,Central,Elliot Park,1,3,01/16/2018,04:05,Olive
"1100 VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,03:51,Olive
"3700 BLOOMINGTON AVE S,Minneapolis,MN",44.935818,-93.252661,9,Powderhorn,Powderhorn Park,1,6,01/16/2018,03:53,Olive
"3100 23RD AVE S,Minneapolis,MN",44.946435,-93.239213,9,Powderhorn,Corcoran,1,6,01/16/2018,03:52,Olive
"1500 PORTLAND AVE S,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,1,3,01/16/2018,03:59,Olive
"2300 EMERSON AVE N ,Minneapolis,MN",45.002618,-93.294106,5,Near North,Jordan,1,1,01/16/2018,03:45,Olive
"700 BLOCK PORTLAND AVE S,Minneapolis,MN",44.972867,-93.264548,7,Central,Elliot Park,1,3,01/16/2018,03:55,Olive
"2527 PLYMOUTH AVE N ,Minneapolis,MN",44.991525,-93.312413,5,Near North,Willard - Hay,1,1,01/16/2018,03:47,Olive
"2700 PLYMOUTH AVE N ,Minneapolis,MN",44.991824,-93.314927,5,Near North,Willard - Hay,1,1,01/16/2018,03:46,Olive
"1600 BLOCK PORTLAND AVE S,Minneapolis,MN",44.967159,-93.267656,6,Central,Elliot Park,1,3,01/16/2018,04:25,Olive
"1500 PORTLAND AVE S,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,1,3,01/16/2018,03:48,Olive
"3600 MINNEHAHA AVE S,Minneapolis,MN",44.937605,-93.226764,12,Longfellow,Howe,1,6,01/16/2018,03:48,Olive
"1600 BLOCK PORTLAND AVE S,Minneapolis,MN",44.967159,-93.267656,6,Central,Elliot Park,1,3,01/16/2018,04:12,Olive
"2212 E 31ST ST,Minneapolis,MN",44.946717,-93.240408,9,Powderhorn,Corcoran,1,6,01/16/2018,03:50,Olive
"3300 BLOCK Nicollet ave,Minneapolis,MN",44.941356,-93.277923,8,Powderhorn,Lyndale,1,5,01/16/2018,05:18,Olive
"3300 Nicollet ave ,Minneapolis,MN",44.942943,-93.277924,8,Powderhorn,Lyndale,1,5,01/16/2018,05:18,Olive
"2210 E 31ST ST ,Minneapolis,MN",44.946717,-93.240442,9,Powderhorn,Corcoran,1,6,01/16/2018,03:49,Olive
"1170 EMERSON AVE N ,Minneapolis,MN",44.992106,-93.29411800000001,5,Near North,Near - North,1,1,01/16/2018,03:44,Olive
"3100 BLOCK MINNEHAHA AVE S,Minneapolis,MN",44.946466,-93.233427,9,Longfellow,Longfellow,1,6,01/16/2018,04:00,Olive
"1100 VAN WHITE BLVD,Minneapolis,MN",44.988817,-93.292063,5,Near North,Sumner - Glenwood,1,1,01/16/2018,03:43,Olive
"3600 MINNEHAHA AVE S,Minneapolis,MN",44.937605,-93.226764,12,Longfellow,Howe,1,6,01/16/2018,03:36,Olive
"200 CEDAR LAKE RD,Minneapolis,MN",44.979149,-93.300345,5,Near North,Harrison,1,3,01/16/2018,03:39,Olive
"2100 BLOCK EMERSON AVE N,Minneapolis,MN",44.988993,-93.294112,5,Near North,Near - North,1,1,01/16/2018,04:00,Olive
"1400 PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,03:40,Olive
"1400 PORTLAND AVE S,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,03:41,Olive
"1600 BLOCK PORTLAND AVE S,Minneapolis,MN",44.967159,-93.267656,6,Central,Elliot Park,1,3,01/16/2018,03:30,Olive
"3300 Nicollet,Minneapolis,MN",44.942943,-93.277924,8,Powderhorn,Lyndale,1,5,01/16/2018,05:29,Olive
"3100 BLOCK MINNEHAHA AVE S,Minneapolis,MN",44.946466,-93.233427,9,Longfellow,Longfellow,1,6,01/16/2018,03:45,Olive
"2700 EMERSON AVE N ,Minneapolis,MN",45.007967,-93.294087,5,Near North,Hawthorne,1,1,01/16/2018,04:17,Olive
"3100 BLOCK MINNEHAHA AVE S,Minneapolis,MN",44.946466,-93.233427,9,Longfellow,Longfellow,1,6,01/16/2018,03:50,Olive
"3600 Nicollet ave,Minneapolis,MN",44.937397999999995,-93.278312,8,Southwest,King Field,1,5,01/16/2018,05:32,Olive
"2700 BLOCK EMERSON AVE N,Minneapolis,MN",45.007976,-93.294312,5,Near North,Hawthorne,1,1,01/16/2018,04:00,Olive
"3300 MINNEHAHA AVE S,Minneapolis,MN",44.942662,-93.230652,9,Longfellow,Longfellow,1,6,01/16/2018,04:47,Olive
"2700 EMERSON AVE N ,Minneapolis,MN",45.007967,-93.294087,5,Near North,Hawthorne,1,1,01/16/2018,04:41,Olive
"3700 Nicollet ave,Minneapolis,MN",44.935715,-93.278231,8,Southwest,King Field,1,5,01/16/2018,05:35,Olive
"2100 EMERSON AVE N ,Minneapolis,MN",45.000479999999996,-93.29384499999999,5,Near North,Hawthorne,1,1,01/16/2018,04:33,Olive
"1800 PORTLAND AVE S,Minneapolis,MN",44.965233000000005,-93.26831,6,Phillips,Ventura Village,1,3,01/16/2018,04:49,Olive
"800 GLENWOOD AVE N,Minneapolis,MN",44.980426,-93.289201,5,Near North,Sumner - Glenwood,1,3,01/16/2018,04:30,Olive
"1800 PORTLAND AVE S,Minneapolis,MN",44.965233000000005,-93.26831,6,Phillips,Ventura Village,1,3,01/16/2018,04:50,Olive
"3400 MINNEHAHA AVE S,Minneapolis,MN",44.941144,-93.229407,12,Longfellow,Howe,1,6,01/16/2018,05:00,Olive
"200 BLOCK CEDAR AVE N,Minneapolis,MN",44.979282,-93.300625,5,Near North,Harrison,1,3,01/16/2018,04:30,Olive
"3210 MINNEHAHA AVE S,Minneapolis,MN",44.944209,-93.23167099999999,9,Longfellow,Longfellow,1,6,01/16/2018,04:42,Olive
"3200 MINNEHAHA AVE S,Minneapolis,MN",44.944592,-93.231939,9,Longfellow,Longfellow,1,6,01/16/2018,04:42,Olive
"700 2ND AVE N ,Minneapolis,MN",44.978944,-93.288048,5,Near North,Harrison,1,3,01/16/2018,05:08,Olive
"3100 MINNEHAHA AVE S,Minneapolis,MN",44.946466,-93.233427,9,Longfellow,Longfellow,1,6,01/16/2018,04:42,Olive
"200 CEDAR LAKE RD,Minneapolis,MN",44.979149,-93.300345,5,Near North,Harrison,1,3,01/16/2018,05:20,Olive
"3333 MINNEHAHA AVE S,Minneapolis,MN",44.942128000000004,-93.229331,2,Longfellow,Longfellow,1,6,01/16/2018,05:30,Olive
"3509 MINNEHAHA AVE S,Minneapolis,MN",44.939468,-93.227329,12,Longfellow,Howe,1,6,01/16/2018,05:30,Olive
"2700 EMERSON AVE N ,Minneapolis,MN",45.007967,-93.294087,5,Near North,Hawthorne,1,1,01/16/2018,04:33,Olive
"200 CEDAR LAKE RD,Minneapolis,MN",44.979149,-93.300345,5,Near North,Harrison,1,3,01/16/2018,05:47,Olive
"3300 MINNEHAHA AVE S,Minneapolis,MN",44.942662,-93.230652,9,Longfellow,Longfellow,1,6,01/16/2018,04:45,Olive
"3000 EMERSON AVE N ,Minneapolis,MN",45.011455,-93.294116,5,Near North,Hawthorne,1,1,01/16/2018,05:10,Olive
"200 CEDAR LAKE RD,Minneapolis,MN",44.979149,-93.300345,5,Near North,Harrison,1,3,01/16/2018,05:44,Olive
"1200 33RD AVE N ,Minneapolis,MN",45.014943,-93.294349,4,Camden,Folwell,1,1,01/16/2018,05:41,Olive
"100 CEDAR LAKE RD,Minneapolis,MN",44.977369,-93.302824,5,Near North,Harrison,1,3,01/16/2018,05:23,Olive
"2700 EMERSON AVE N ,Minneapolis,MN",45.007967,-93.294087,5,Near North,Hawthorne,1,1,01/16/2018,05:20,Olive
"2600 EMERSON AVE N ,Minneapolis,MN",45.005987,-93.294205,5,Near North,Jordan,1,1,01/16/2018,05:20,Olive
"700 2ND AVE N ,Minneapolis,MN",44.978944,-93.288048,5,Near North,Harrison,1,3,01/16/2018,05:05,Olive
"1400 Portland Ave S ,Minneapolis,MN",44.96877,-93.268114,7,Central,Elliot Park,1,3,01/16/2018,06:06,Olive
"600 E 15th St ,Minneapolis,MN",44.968057,-93.267635,6,Central,Elliot Park,1,3,01/16/2018,06:06,Olive
"500 Lynn Park Cir N,Minneapolis,MN",44.997095,-93.286447,5,Near North,Near - North,2,1,01/16/2018,08:39,Olive
"2630 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,08:40,Olive
"3020 KNOX AVE S ,Minneapolis,MN",44.947586,-93.304925,10,Calhoun Isle,ECCO,2,5,01/16/2018,08:42,Olive
"2408 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,08:42,Olive
"1724 Dupont Ave S,Minneapolis,MN",44.9666,-93.293391,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,08:43,Olive
"3016 KNOX AVE S,Minneapolis,MN",44.947707,-93.304928,10,Calhoun Isle,ECCO,2,5,01/16/2018,08:50,Olive
"3012 JAMES AVE S,Minneapolis,MN",44.947818,-93.303674,10,Calhoun Isle,ECCO,2,5,01/16/2018,08:53,Olive
"3014 Knox Ave s,Minneapolis,MN",44.94777,-93.30464599999999,10,Calhoun Isle,ECCO,2,5,01/16/2018,09:00,Olive
"402 2nd Ave Se,Minneapolis,MN",44.987239,-93.252677,3,University,Marcy Holmes,2,4,01/16/2018,09:03,Olive
"416 2nd Ave Se,Minneapolis,MN",44.987373999999996,-93.25256800000001,3,University,Marcy Holmes,2,4,01/16/2018,09:04,Olive
"738 Aldrich Ave N,Minneapolis,MN",44.985977,-93.29064100000001,5,Near North,Sumner - Glenwood,2,1,01/16/2018,09:06,Olive
"2908 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,09:07,Olive
"2012 KNOX AVE S,Minneapolis,MN",44.962746,-93.301992,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,09:17,Olive
"2124 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,09:16,Olive
"734 Aldrich Ave N,Minneapolis,MN",44.985833,-93.290263,5,Near North,Sumner - Glenwood,2,1,01/16/2018,09:18,Olive
"2608 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,09:19,Olive
"2612 3rd St N,Minneapolis,MN",45.015374,-93.26493599999999,1,Northeast,Marshall Terrace,2,2,01/16/2018,09:20,Olive
"1538 41st St E,Minneapolis,MN",44.928632,-93.25169100000001,8,Powderhorn,Bancroft,2,6,01/16/2018,09:22,Olive
"3708 14th Ave S,Minneapolis,MN",44.935507,-93.25529399999999,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,09:27,Olive
"734 Aldrich Ave N,Minneapolis,MN",44.985833,-93.290263,5,Near North,Sumner - Glenwood,2,1,01/16/2018,09:29,Olive
"108 3rd Ave Ne,Minneapolis,MN",44.989974,-93.260482,3,Northeast,St. Anthony West,2,2,01/16/2018,09:37,Olive
"222 4th Ave Ne,Minneapolis,MN",44.979252,-93.263162,3,Central,Downtown West,2,3,01/16/2018,09:39,Olive
"3044 JAMES AVE S ,Minneapolis,MN",44.946821,-93.303682,10,Calhoun Isle,ECCO,2,5,01/16/2018,09:41,Olive
"3924 14th Ave S,Minneapolis,MN",44.931549,-93.255191,8,Powderhorn,Bancroft,2,6,01/16/2018,09:41,Olive
"3836 14th Ave S,Minneapolis,MN",44.93347,-93.254921,8,Powderhorn,Bancroft,2,6,01/16/2018,09:42,Olive
"422 2nd Ave Se,Minneapolis,MN",44.987431,-93.252521,3,University,Marcy Holmes,2,4,01/16/2018,09:44,Olive
"412 2nd Ave Se,Minneapolis,MN",44.987334999999995,-93.252599,3,University,Marcy Holmes,2,4,01/16/2018,09:45,Olive
"800 3rd Ave Ne,Minneapolis,MN",44.993359999999996,-93.25130300000001,3,Northeast,St. Anthony East,2,2,01/16/2018,09:46,Olive
"424 2nd Ave Se,Minneapolis,MN",44.983234,-93.25013100000001,3,University,Marcy Holmes,2,4,01/16/2018,09:48,Olive
"508 3rd Ave Se,Minneapolis,MN",44.987814,-93.250031,3,University,Marcy Holmes,2,4,01/16/2018,09:49,Olive
"3504 14th ave S,Minneapolis,MN",44.939313,-93.255175,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,09:51,Olive
"724 3rd Ave Ne,Minneapolis,MN",44.993466,-93.252101,3,Northeast,St. Anthony East,2,2,01/16/2018,09:52,Olive
"316 6th Ave Ne,Minneapolis,MN",44.994513,-93.259855,3,Northeast,St. Anthony West,2,2,01/16/2018,09:53,Olive
"626 Bryant Ave N,Minneapolis,MN",44.984798,-93.29108000000001,5,Near North,Sumner - Glenwood,2,1,01/16/2018,09:54,Olive
"308 5th ave Ne,Minneapolis,MN",44.977729,-93.262547,3,Central,Downtown West,2,3,01/16/2018,09:55,Olive
"720 Aldrich ave N,Minneapolis,MN",44.985597,-93.289854,5,Near North,Sumner - Glenwood,2,1,01/16/2018,09:56,Olive
"404 3rd Ave Ne,Minneapolis,MN",44.991358,-93.25664,3,Northeast,St. Anthony West,2,2,01/16/2018,10:05,Olive
"316 4th ave Ne,Minneapolis,MN",44.992415,-93.25842,3,Northeast,St. Anthony West,2,2,01/16/2018,10:06,Olive
"724 Aldrich ave N,Minneapolis,MN",44.986061,-93.28988000000001,5,Near North,Sumner - Glenwood,2,1,01/16/2018,10:08,Olive
"3224 3rd St N,Minneapolis,MN",45.01345,-93.283699,4,Camden,McKinley,2,1,01/16/2018,10:09,Olive
"248 6th St Ne,Minneapolis,MN",44.992024,-93.254165,3,Northeast,St. Anthony East,2,2,01/16/2018,10:11,Olive
"518 4thave Se,Minneapolis,MN",44.987601,-93.24840400000001,3,University,Marcy Holmes,2,4,01/16/2018,10:12,Olive
"600 4th Ave Se,Minneapolis,MN",44.988093,-93.248319,3,University,Marcy Holmes,2,4,01/16/2018,10:13,Olive
"THE MALL & IRVING AVE S ,Minneapolis,MN",44.949925,-93.302097,7,Calhoun Isle,East Isles,2,3,01/16/2018,09:33,Olive
"3618 14th Ave S,Minneapolis,MN",44.937007,-93.254944,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,10:17,Olive
"4124 13th Ave S,Minneapolis,MN",44.927803999999995,-93.256479,8,Powderhorn,Bancroft,2,6,01/16/2018,10:18,Olive
"2906 3rd St N,Minneapolis,MN",44.994181,-93.281878,5,Near North,Near - North,2,1,01/16/2018,10:21,Olive
"3226 3rd St N,Minneapolis,MN",45.013478000000006,-93.283699,4,Camden,McKinley,2,1,01/16/2018,10:22,Olive
"702 Bryant Ave N,Minneapolis,MN",44.991409999999995,-93.291051,5,Near North,Near - North,2,1,01/16/2018,10:23,Olive
"802 Aldrich Ave N,Minneapolis,MN",44.982981,-93.289682,5,Near North,Sumner - Glenwood,2,3,01/16/2018,10:25,Olive
"3610 13th Ave S,Minneapolis,MN",44.937272,-93.256209,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,10:26,Olive
"310 3rd Ave Se,Minneapolis,MN",44.98603,-93.251351,3,University,Marcy Holmes,2,4,01/16/2018,10:27,Olive
"1802 COLFAX AVE S,Minneapolis,MN",44.965237,-93.292152,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,10:31,Olive
"722 BRYANT AVE N,Minneapolis,MN",44.985993,-93.29199100000001,5,Near North,Sumner - Glenwood,2,1,01/16/2018,10:37,Olive
"4908 14TH AVE S ,Minneapolis,MN",44.914025,-93.254947,11,Nokomis,Northrop,2,6,01/16/2018,09:57,Olive
"1040 ALDRICH AVE N,Minneapolis,MN",44.988347,-93.290777,5,Near North,Sumner - Glenwood,2,1,01/16/2018,10:00,Olive
"1042 Aldrich Ave N,Minneapolis,MN",44.98836,-93.290778,5,Near North,Sumner - Glenwood,2,1,01/16/2018,10:43,Olive
"3608 13th Ave S,Minneapolis,MN",44.93735,-93.256491,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,10:44,Olive
"520 2ND AVE SE ,Minneapolis,MN",44.98878,-93.251063,3,University,Marcy Holmes,2,4,01/16/2018,10:17,Olive
"3522 13TH AVE S,Minneapolis,MN",44.938724,-93.256568,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,10:43,Olive
"1404 MAIN ST NE ,Minneapolis,MN",45.002026,-93.267679,3,Northeast,Sheridan,2,2,01/16/2018,10:19,Olive
"3136 JAMES AVE S ,Minneapolis,MN",44.945294,-93.303687,10,Calhoun Isle,ECCO,2,5,01/16/2018,10:49,Olive
"1772 COLFAX AVE S,Minneapolis,MN",44.966071,-93.292137,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,10:46,Olive
"4104 12th Ave S,Minneapolis,MN",44.928508,-93.257774,8,Powderhorn,Bancroft,2,6,01/16/2018,10:47,Olive
"426 6TH AVE NE,Minneapolis,MN",44.994994,-93.258313,3,Northeast,St. Anthony West,2,2,01/16/2018,10:50,Olive
"300 6th Ave Se,Minneapolis,MN",44.983934000000005,-93.247653,3,University,Marcy Holmes,2,4,01/16/2018,10:51,Olive
"314 6th Ave Se,Minneapolis,MN",44.984119,-93.247126,3,University,Marcy Holmes,2,4,01/16/2018,10:53,Olive
"4104 12th Ave S,Minneapolis,MN",44.928508,-93.257774,8,Powderhorn,Bancroft,2,6,01/16/2018,10:55,Olive
"328 5th Ave Se,Minneapolis,MN",44.985044,-93.248181,3,University,Marcy Holmes,2,4,01/16/2018,10:56,Olive
"3122 3RD ST N,Minneapolis,MN",45.012231,-93.283376,5,Near North,Hawthorne,2,1,01/16/2018,10:52,Olive
"310 5th Ave Se,Minneapolis,MN",44.984609000000006,-93.24852,3,University,Marcy Holmes,2,4,01/16/2018,10:58,Olive
"728 - 6TH ST NE,Minneapolis,MN",44.997836,-93.257846,3,Northeast,St. Anthony West,2,2,01/16/2018,10:59,Olive
"1700 Bryant Ave S,Minneapolis,MN",44.966394,-93.29052,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,10:59,Olive
"3222 4TH ST N,Minneapolis,MN",45.013912,-93.284643,4,Camden,McKinley,2,1,01/16/2018,10:58,Olive
"208 4th Ave Ne,Minneapolis,MN",44.979385,-93.263051,3,Central,Downtown West,2,3,01/16/2018,11:00,Olive
"652 Summer St Ne,Minneapolis,MN",44.996749,-93.25535699999999,3,Northeast,St. Anthony East,2,2,01/16/2018,11:01,Olive
"408 6TH AVE SE,Minneapolis,MN",44.985228,-93.246638,3,University,Marcy Holmes,2,4,01/16/2018,11:01,Olive
"4144 12th Ave S,Minneapolis,MN",44.927405,-93.257775,8,Powderhorn,Bancroft,2,6,01/16/2018,11:02,Olive
"300 4TH AVE SE,Minneapolis,MN",44.985138,-93.250668,3,University,Marcy Holmes,2,4,01/16/2018,11:03,Olive
"1820 DUPONT AVE N,Minneapolis,MN",44.99807,-93.292301,5,Near North,Near - North,2,1,01/16/2018,11:04,Olive
"506 3rd Ave Se,Minneapolis,MN",44.987747,-93.250084,3,University,Marcy Holmes,2,4,01/16/2018,11:03,Olive
"1836 DUPONT AVE N,Minneapolis,MN",44.998608000000004,-93.29258,5,Near North,Near - North,2,1,01/16/2018,11:06,Olive
"324 3rd Ave Se,Minneapolis,MN",44.986422999999995,-93.251152,3,University,Marcy Holmes,2,4,01/16/2018,11:07,Olive
"1706 Bryant Ave S,Minneapolis,MN",44.966362,-93.29052,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,11:08,Olive
"4124 13TH AVE S,Minneapolis,MN",44.927803999999995,-93.256479,8,Powderhorn,Bancroft,2,6,01/16/2018,11:08,Olive
"1900 Colfax Ave S,Minneapolis,MN",44.964284,-93.292146,7,Calhoun Isle,Lowry Hill,2,3,01/16/2018,11:10,Olive
"3836 14TH AVE S,Minneapolis,MN",44.93347,-93.254921,8,Powderhorn,Bancroft,2,6,01/16/2018,11:11,Olive
"3540 11th Ave S,Minneapolis,MN",44.938297,-93.259098,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,11:11,Olive
"1814 Dupont Ave N,Minneapolis,MN",44.997941,-93.29230799999999,5,Near North,Near - North,2,1,01/16/2018,11:12,Olive
"The Mall & Humboldt Ave S,Minneapolis,MN",44.950057,-93.30082900000001,7,Calhoun Isle,East Isles,2,3,01/16/2018,11:14,Olive
"720 6th St Ne,Minneapolis,MN",44.997801,-93.25782099999999,3,Northeast,St. Anthony West,2,2,01/16/2018,11:18,Olive
"204 4th Ave Ne,Minneapolis,MN",44.992022,-93.260127,3,Northeast,St. Anthony West,2,2,01/16/2018,11:21,Olive
"3932 13TH AVE S,Minneapolis,MN",44.931335,-93.256457,8,Powderhorn,Bancroft,2,6,01/16/2018,11:19,Olive
"716 6th St Ne,Minneapolis,MN",44.997597,-93.257998,3,Northeast,St. Anthony West,2,2,01/16/2018,11:23,Olive
"3920 11TH AVE S,Minneapolis,MN",44.931638,-93.259004,8,Powderhorn,Bancroft,2,6,01/16/2018,11:24,Olive
"3520 11th Ave S,Minneapolis,MN",44.938814,-93.259027,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,11:26,Olive
"4008 13TH AVE S,Minneapolis,MN",44.930184999999994,-93.256466,8,Powderhorn,Bancroft,2,6,01/16/2018,11:28,Olive
"710 4TH ST NE,Minneapolis,MN",44.996452000000005,-93.260752,3,Northeast,St. Anthony West,2,2,01/16/2018,11:30,Olive
"3748 11TH AVE S,Minneapolis,MN",44.934563,-93.258716,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,11:31,Olive
"412 6TH AVE SE,Minneapolis,MN",44.985257,-93.246615,3,University,Marcy Holmes,2,4,01/16/2018,11:26,Olive
"504 4TH AVE SE,Minneapolis,MN",44.987128999999996,-93.24878000000001,3,University,Marcy Holmes,2,4,01/16/2018,11:32,Olive
"628 4TH AVE SE,Minneapolis,MN",44.988803000000004,-93.24776700000001,3,University,Marcy Holmes,2,4,01/16/2018,11:33,Olive
"406 6TH AVE SE,Minneapolis,MN",44.985213,-93.246649,3,University,Marcy Holmes,2,4,01/16/2018,11:33,Olive
"628 BRYANT AVE N,Minneapolis,MN",44.991409999999995,-93.291051,5,Near North,Near - North,2,1,01/16/2018,10:14,Olive
"THE MALL & JAMES,Minneapolis,MN",44.950175,-93.303368,7,Calhoun Isle,East Isles,2,3,01/16/2018,11:34,Olive
"3614 10TH AVE S,Minneapolis,MN",44.937159,-93.260002,9,Powderhorn,Powderhorn Park,2,6,01/16/2018,11:37,Olive
"1112 HUMBOLDT AVE N,Minneapolis,MN",44.98944,-93.29757099999999,5,Near North,Near - North,2,1,01/16/2018,11:38,Olive
"304 4TH AVE SE,Minneapolis,MN",44.98527,-93.25027,3,University,Marcy Holmes,2,4,01/16/2018,11:38,Olive
"3024 JAMES AVE S,Minneapolis,MN",44.947448,-93.30366500000001,10,Calhoun Isle,ECCO,2,5,01/16/2018,11:41,Olive
"628 4TH AVE SE,Minneapolis,MN",44.988803000000004,-93.24776700000001,3,University,Marcy Holmes,2,4,01/16/2018,11:40,Olive
"3212 HOLMES AVE S ,Minneapolis,MN",44.944193,-93.299961,10,Calhoun Isle,ECCO,2,5,01/16/2018,11:43,Olive
"622 4TH AVE SE,Minneapolis,MN",44.988621,-93.247908,3,University,Marcy Holmes,2,4,01/16/2018,11:42,Olive
"3400 HUMBOLT AVE S,Minneapolis,MN",44.941309999999994,-93.300895,10,Calhoun Isle,ECCO,2,5,01/16/2018,11:44,Olive
"MALL & KNOX AVE ,Minneapolis,MN",44.94753,-93.297671,10,Calhoun Isle,South Uptown,2,5,01/16/2018,11:41,Olive
