Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Emergency,Day,Date,Time
3200 GARFIELD AVE S,44.944573,-93.286926,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:32
714 27TH ST E,44.953638,-93.264868,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:32
1826 IRVING AVE N,44.998123,-93.29944,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:32
1404 12TH AVE NE,44.999771,-93.239245,1,Northeast,Northeast Park,2,Howe,2,04/16/2018,11:32
3132 LONGFELLOW AVE S,44.945282,-93.246127,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,08:54
2642 JAMES AVE N,45.007385,-93.30067700000001,5,Near North,Jordan,1,Howe,2,04/16/2018,11:32
1512 34TH ST E,44.941361,-93.25308000000001,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:32
4100 10TH AVE S,44.928546999999995,-93.25992099999999,8,Powderhorn,Bancroft,6,Howe,2,04/16/2018,11:33
716 27TH ST E,44.953769,-93.26423100000001,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:33
718 27TH ST E,44.953802,-93.264212,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:33
1604 8TH ST SE,44.98323,-93.229766,2,University,University of Minnesota,4,Howe,2,04/16/2018,11:33
926 5TH AVE SE,44.983758,-93.241182,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:33
1042 17TH AVE SE,44.989018,-93.228218,1,University,Como,4,Howe,2,04/16/2018,11:33
2630 JAMES AVE N,45.007111,-93.300619,5,Near North,Jordan,1,Howe,2,04/16/2018,11:33
3516 EMERSON AVE S,44.939899,-93.294653,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:34
3018 29TH AVE S,44.947596999999995,-93.230021,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:34
2622 JAMES AVE N,45.006669,-93.30062,5,Near North,Jordan,1,Howe,2,04/16/2018,11:34
2648 HAYES ST NE,45.016588,-93.234608,1,Northeast,Audubon Park,2,Howe,2,04/16/2018,11:34
2318 43RD AVE N,45.033379,-93.309614,4,Camden,Victory,1,Howe,2,04/16/2018,11:34
2600 3RD AVE S,44.95536,-93.273125,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:34
724 27TH ST E,44.953819,-93.263688,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:35
1430 JEFFERSON ST NE,45.002777,-93.25504000000001,1,Northeast,Logan Park,2,Howe,2,04/16/2018,11:35
2612 JAMES AVE N,45.006510999999996,-93.300613,5,Near North,Jordan,1,Howe,2,04/16/2018,11:35
3706 OAKLAND AVE S,44.93572,-93.266337,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:36
3528 EMERSON AVE S,44.938629999999996,-93.294596,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:36
3442 24TH AVE S,44.939912,-93.237112,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:36
608 34TH ST W,44.941358,-93.287188,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:36
728 27TH ST E,44.953794,-93.263518,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:36
1120 5TH ST SE,44.982628000000005,-93.238196,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:36
1110 5TH AVE SE,44.982808,-93.238388,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:36
1428 7TH ST SE,44.982966999999995,-93.23225500000001,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:36
3714 10TH AVE S,44.935367,-93.26008399999999,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:37
3704 OAKLAND AVE S,44.935766,-93.266338,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:37
620 34TH ST W,44.941334000000005,-93.28771,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:37
3140 GARFIELD AVE S,44.944903000000004,-93.286849,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:37
3146 29TH AVE S,44.945358,-93.230008,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:37
2924 COLUMBUS AVE S,44.949364,-93.263801,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:37
1226 9TH ST S,44.967513000000004,-93.256297,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:37
1602 IRVING AVE N,44.995398,-93.29943,5,Near North,Near - North,1,Howe,2,04/16/2018,11:37
1226 JEFFERSON ST NE,45.000667,-93.255009,1,Northeast,Logan Park,2,Howe,2,04/16/2018,11:37
1503 34TH ST E,44.941196999999995,-93.253571,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:37
3702 OAKLAND AVE S,44.935856,-93.266348,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:38
3148 29TH AVE S,44.945281,-93.230087,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:38
808 13TH AVE S,44.968026,-93.25578900000001,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:38
4034 SHERIDAN AVE N,45.028813,-93.312209,4,Camden,Victory,1,Howe,2,04/16/2018,11:38
2316 43RD AVE N,45.033381,-93.309462,4,Camden,Victory,1,Howe,2,04/16/2018,11:38
2608 2ND AVE S,44.95507,-93.27436999999999,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:38
3640 10TH AVE S,44.936258,-93.260233,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:39
700 34TH ST W,44.941338,-93.288481,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:39
3232 24TH AVE S,44.943606,-93.237278,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:39
3132 GARFIELD AVE S,44.945391,-93.28684,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:39
812 13TH AVE S,44.968008000000005,-93.255751,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:39
1410 7TH ST SE,44.983284999999995,-93.23289100000001,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:39
1328 7TH ST SE,44.983472,-93.233469,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:39
1304 7TH AVE SE,44.983805,-93.234616,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:39
2432 JAMES AVE N,45.004785999999996,-93.30120600000001,5,Near North,Jordan,1,Howe,2,04/16/2018,11:39
1326 SHERIDAN AVE N,44.992459999999994,-93.31175,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:39
706 34TH ST W,44.941342,-93.288515,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:40
3152 29TH AVE S,44.945147,-93.23008100000001,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:40
3128 GARFIELD AVE S,44.945440000000005,-93.286852,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:40
2824 HUMBOLDT AVE S,44.949907,-93.300937,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,11:40
824 13TH AVE S,44.967848,-93.255899,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:40
1412 7TH ST SE,44.983264,-93.23292099999999,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:40
1128 16TH AVE SE,44.991769,-93.2295,1,University,Como,2,Howe,2,04/16/2018,11:40
2926 COLUMBUS AVE S,44.949203000000004,-93.264212,6,Phillips,Phillips West,3,Howe,2,04/16/2018,11:40
3712 COLFAX AVE S,44.935334000000005,-93.292187,10,Southwest,East Harriet,5,Howe,2,04/16/2018,11:41
3642 OAKLAND AVE S,44.936386,-93.266302,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:41
710 34TH ST W,44.941342999999996,-93.28851999999999,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:41
1108 15TH ST E,44.968032,-93.257678,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:41
1312 7TH AVE SE,44.983499,-93.234085,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:41
1130 16TH AVE SE,44.991735999999996,-93.229447,1,University,Como,2,Howe,2,04/16/2018,11:41
1320 IRVING AVE N,44.992447,-93.299423,5,Near North,Near - North,1,Howe,2,04/16/2018,11:41
2426 JAMES AVE N,45.004626,-93.30131999999999,5,Near North,Jordan,1,Howe,2,04/16/2018,11:41
2430 JAMES AVE N,45.004671,-93.301302,5,Near North,Jordan,1,Howe,2,04/16/2018,11:41
1326 SHERIDAN AVE N,44.992459999999994,-93.31175,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:41
3702 COLFAX AVE S,44.935664,-93.292067,10,Southwest,East Harriet,5,Howe,2,04/16/2018,11:42
3508 10TH AVE S,44.939170000000004,-93.260113,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:42
3216 24TH AVE S,44.944119,-93.237284,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:42
1304 27TH ST E,44.953788,-93.256163,9,Phillips,Midtown Phillips,3,Howe,2,04/16/2018,11:42
1128 JEFFERSON ST NE,44.999588,-93.255,1,Northeast,Logan Park,2,Howe,2,04/16/2018,11:42
2424 JAMES AVE N,45.004560999999995,-93.301412,5,Near North,Jordan,1,Howe,2,04/16/2018,11:42
1520 33RD ST E,44.942913,-93.25270400000001,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:42
3700 COLFAX AVE S,44.935664,-93.292067,10,Southwest,East Harriet,5,Howe,2,04/16/2018,11:43
3626 OAKLAND AVE S,44.936811,-93.266306,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:43
3212 24TH AVE S,44.944272,-93.2375,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:43
3216 29TH AVE S,44.944357000000004,-93.23003100000001,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:43
3128 GARFIELD AVE S,44.945551,-93.286843,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:43
1312 27TH ST E,44.953837,-93.255082,9,Phillips,Midtown Phillips,3,Howe,2,04/16/2018,11:43
1226 7TH ST SE,44.984111,-93.23508199999999,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:43
3208 24TH AVE S,44.94424,-93.237205,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:44
1328 27TH ST E,44.953775,-93.255423,9,Phillips,Midtown Phillips,3,Howe,2,04/16/2018,11:44
1218 7TH ST SE,44.984204,-93.235298,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:44
1314 IRVING AVE N,44.992042,-93.299402,5,Near North,Near - North,1,Howe,2,04/16/2018,11:44
716 JEFFERSON ST NE,44.997471000000004,-93.25498499999999,3,Northeast,St. Anthony East,2,Howe,2,04/16/2018,11:44
758 BUCHANAN ST NE,44.998591999999995,-93.23975899999999,3,Northeast,Beltrami,2,Howe,2,04/16/2018,11:44
2406 JAMES AVE N,45.004215,-93.301823,5,Near North,Jordan,1,Howe,2,04/16/2018,11:44
2212 43RD AVE N,45.033365,-93.307804,4,Camden,Victory,1,Howe,2,04/16/2018,11:44
3644 COLFAX AVE S,44.936477000000004,-93.29208,10,Southwest,East Harriet,5,Howe,2,04/16/2018,11:45
3536 ELLIOT AVE,44.938518,-93.261375,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:45
3254 29TH AVE S,44.943509999999996,-93.23003299999999,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:45
3252 29TH AVE S,44.943544,-93.230008,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:45
3206 24TH AVE S,44.944386,-93.23724200000001,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:45
3108 GARFIELD AVE S,44.946233,-93.286824,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:45
1102 7TH ST SE,44.984953999999995,-93.23727,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:45
2360 JAMES AVE N,45.003887,-93.302177,5,Near North,Jordan,1,Howe,2,04/16/2018,11:45
2818 GARFIELD ST NE,45.019211999999996,-93.233238,1,Northeast,Audubon Park,2,Howe,2,04/16/2018,11:45
1348 SHERIDAN AVE N,44.9931,-93.31173000000001,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:45
3608 OAKLAND AVE S,44.937264,-93.266334,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:46
3100 GARFIELD AVE S,44.946396,-93.286836,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:46
1002 7TH ST SE,44.985528,-93.23880600000001,3,University,Marcy Holmes,4,Howe,2,04/16/2018,11:46
2358 JAMES AVE N,45.003858,-93.302208,5,Near North,Jordan,1,Howe,2,04/16/2018,11:46
1350 SHERIDAN AVE N,44.993131,-93.311751,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:46
3612 COLFAX AVE S,44.937028000000005,-93.29199100000001,10,Southwest,East Harriet,5,Howe,2,04/16/2018,11:47
1512 27TH ST E,44.953941,-93.252944,9,Phillips,Midtown Phillips,3,Howe,2,04/16/2018,11:47
746 BUCHANAN ST NE,44.998351,-93.239786,3,Northeast,Beltrami,2,Howe,2,04/16/2018,11:47
2356 JAMES AVE N,45.003818,-93.302254,5,Near North,Jordan,1,Howe,2,04/16/2018,11:47
1804 33RD ST E,44.943117,-93.24839399999999,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:47
3832 40TH AVE S,44.933293,-93.21535899999999,12,Longfellow,Howe,6,Howe,2,04/16/2018,11:48
3752 ELLIOT AVE,44.934552000000004,-93.261236,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,11:48
3524 COLFAX AVE S,44.938609,-93.291969,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:48
3304 30TH AVE S,44.943008,-93.22843,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:48
1214 IRVING AVE N,44.99068,-93.299453,5,Near North,Near - North,1,Howe,2,04/16/2018,11:48
734 BUCHANAN ST NE,44.99796,-93.239755,3,Northeast,Beltrami,2,Howe,2,04/16/2018,11:48
2630 2ND AVE S,44.95436,-93.274344,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:48
2438 ELLIOT AVE,44.957573,-93.26160899999999,9,Phillips,Midtown Phillips,3,Howe,2,04/16/2018,11:48
1622 SHERIDAN AVE N,44.995869,-93.311774,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:48
3602 OAKLAND AVE S,44.937651,-93.266324,8,Powderhorn,Central,5,Howe,2,04/16/2018,11:49
916 34TH ST W,44.941358,-93.29144000000001,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:49
3312 30TH AVE S,44.942734,-93.228433,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:49
3012 GARFIELD AVE S,44.9479,-93.286819,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:49
2738 HUMBOLDT AVE S,44.952578,-93.299993,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,11:49
1612 27TH ST E,44.953866,-93.250466,9,Phillips,East Phillips,3,Howe,2,04/16/2018,11:49
2312 MOUNT CUR AVE,44.9719,-93.310266,7,Calhoun Isle,Bryn - Mawr,3,Howe,2,04/16/2018,11:49
2634 2ND AVE S,44.954213,-93.274381,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:49
1628 SHERIDAN AVE N,44.996036,-93.311767,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:49
3636 THOMAS AVE N,45.021549,-93.31352700000001,4,Camden,Cleveland,1,Howe,2,04/16/2018,11:50
3136 GARFIELD ST NE,45.025075,-93.23327900000001,1,Northeast,Waite Park,2,Howe,2,04/16/2018,11:50
1832 33RD ST E,44.943103,-93.246833,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:50
3508 COLFAX AVE S,44.939202,-93.292057,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:51
3004 PLEASANT AVE,44.948208,-93.28301,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:51
1614 27TH ST E,44.953733,-93.25036899999999,9,Phillips,East Phillips,3,Howe,2,04/16/2018,11:51
1914 CLINTON AVE S,44.96331,-93.271487,6,Central,Steven's Square - Loring Heights,3,Howe,2,04/16/2018,11:51
908 17TH ST E,44.966384999999995,-93.26060600000001,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:51
2314 MOUNT CUR AVE,44.971911999999996,-93.310293,7,Calhoun Isle,Bryn - Mawr,3,Howe,2,04/16/2018,11:51
2310 JAMES AVE N,45.002545,-93.304002,5,Near North,Jordan,1,Howe,2,04/16/2018,11:51
4226 COLFAX AVE N,45.032485,-93.291931,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,11:51
2308 ELLIOT AVE,44.959663,-93.261472,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,11:51
3502 COLFAX AVE S,44.939478,-93.292182,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:52
3218 40TH AVE S,44.944389,-93.215324,2,Longfellow,Cooper,6,Howe,2,04/16/2018,11:52
828 17TH ST E,44.966377,-93.26116400000001,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:52
900 IRVING AVE N,44.987131,-93.299498,5,Near North,Near - North,1,Howe,2,04/16/2018,11:52
726 BUCHANAN ST NE,44.997792,-93.239736,3,Northeast,Beltrami,2,Howe,2,04/16/2018,11:52
2306 JAMES AVE N,45.00245,-93.304061,5,Near North,Jordan,1,Howe,2,04/16/2018,11:52
3142 GARFIELD ST NE,45.025341999999995,-93.233283,1,Northeast,Waite Park,2,Howe,2,04/16/2018,11:52
1854 33RD ST E,44.943090000000005,-93.24597800000001,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:52
26 47TH ST E,44.917863,-93.277431,11,Southwest,Tangletown,5,Howe,2,04/16/2018,11:53
3536 OAKLAND AVE S,44.938501,-93.26632,9,Powderhorn,Central,5,Howe,2,04/16/2018,11:53
920 34TH ST W,44.941362,-93.291432,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:53
3218 40TH AVE S,44.944396000000005,-93.215416,2,Longfellow,Cooper,6,Howe,2,04/16/2018,11:53
3024 30TH AVE S,44.947569,-93.228443,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:53
3006 PLEASANT AVE,44.948142,-93.28305,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:53
2734 HUMBOLDT AVE S,44.952851,-93.299624,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,11:53
1510 BROOK AVE SE,44.986567,-93.22924,2,University,Como,4,Howe,2,04/16/2018,11:53
2302 JAMES AVE N,45.002324,-93.304128,5,Near North,Jordan,1,Howe,2,04/16/2018,11:53
4204 COLFAX AVE N,45.031622999999996,-93.291838,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,11:53
1902 SHERIDAN AVE N,44.998899,-93.311751,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:53
922 34TH ST W,44.941363,-93.29172,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:54
3008 PLEASANT AVE,44.948060999999996,-93.283034,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:54
906 17TH ST E,44.966381,-93.26074799999999,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:54
1512 BROOK AVE SE,44.986584,-93.229614,2,University,Como,4,Howe,2,04/16/2018,11:54
4034 COLFAX AVE N,45.029045,-93.291886,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,11:54
1908 SHERIDAN AVE N,44.999154,-93.31168000000001,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:54
3444 COLFAX AVE S,44.939882,-93.291849,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:55
3010 PLEASANT AVE,44.947982,-93.283008,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:55
2732 HUMBOLDT AVE S,44.952892,-93.299613,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,11:55
1912 CLINTON AVE S,44.963595,-93.271468,6,Central,Steven's Square - Loring Heights,3,Howe,2,04/16/2018,11:55
2112 ELLIOT AVE,44.961323,-93.26140500000001,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,11:55
12 47TH ST W,44.917858,-93.278504,11,Southwest,Tangletown,5,Howe,2,04/16/2018,11:56
3500 OAKLAND AVE S,44.939356,-93.26635,9,Powderhorn,Central,5,Howe,2,04/16/2018,11:56
3008 30TH AVE S,44.947896,-93.228444,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:56
1500 BROOK AVE SE,44.986592,-93.230069,2,University,Como,4,Howe,2,04/16/2018,11:56
2534 STEVENS AVE S,44.956072999999996,-93.275639,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:56
3440 COLFAX AVE S,44.94001,-93.29196400000001,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:57
3016 PLEASANT AVE,44.947725,-93.28303000000001,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:57
3006 40TH AVE S,44.947992,-93.215238,2,Longfellow,Cooper,6,Howe,2,04/16/2018,11:57
2104 ELLIOT AVE,44.961563,-93.26110600000001,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,11:57
2102 ELLIOT AVE,44.961633,-93.26141899999999,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,11:57
2110 SHERIDAN AVE N,45.000972,-93.311688,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,11:57
3434 COLFAX AVE S,44.940243,-93.291984,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:58
922 34TH ST W,44.941352,-93.292923,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,11:58
814 17TH ST E,44.966409000000006,-93.261485,6,Central,Elliot Park,3,Howe,2,04/16/2018,11:58
3818 COLFAX AVE N,45.024671999999995,-93.291833,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,11:58
2530 STEVENS AVE S,44.956199,-93.275626,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,11:58
2310 33RD ST E,44.943114,-93.238277,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,11:58
3128 28TH AVE S,44.945947,-93.23163199999999,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,11:59
3036 PLEASANT AVE,44.947072,-93.28303000000001,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,11:59
2640 HUMBOLDT AVE S,44.954015999999996,-93.299031,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,11:59
1902 CLINTON AVE S,44.963786999999996,-93.271431,6,Central,Steven's Square - Loring Heights,3,Howe,2,04/16/2018,11:59
4 47TH ST W,44.917863,-93.278224,11,Southwest,Tangletown,5,Howe,2,04/16/2018,12:00
3432 COLFAX AVE S,44.940257,-93.292182,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:00
1002 34TH ST W,44.941332,-93.293437,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:00
1000 34TH ST W,44.941349,-93.293387,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:00
3322 ELLIOT AVE,44.942507,-93.261201,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,12:00
3136 28TH AVE S,44.945741,-93.231657,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,12:00
3750 COLFAX AVE N,45.023701,-93.291738,4,Camden,McKinley,1,Howe,2,04/16/2018,12:00
3754 COLFAX AVE N,45.023733,-93.291619,4,Camden,McKinley,1,Howe,2,04/16/2018,12:00
2114 SHERIDAN AVE N,45.001121000000005,-93.311749,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,12:00
3220 OAKLAND AVE S,44.944305,-93.26642,9,Powderhorn,Central,5,Howe,2,04/16/2018,12:01
3042 PLEASANT AVE,44.946889,-93.283049,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,12:01
1900 CLINTON AVE S,44.963905,-93.271464,6,Central,Steven's Square - Loring Heights,3,Howe,2,04/16/2018,12:01
956 17TH AVE SE,44.9863,-93.228585,2,University,Como,4,Howe,2,04/16/2018,12:01
3410 THOMAS AVE N,45.017112,-93.31347099999999,4,Camden,Cleveland,1,Howe,2,04/16/2018,12:01
2524 STEVENS AVE S,44.956381,-93.27564699999999,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,12:01
2020 ELLIOT AVE,44.962342,-93.261442,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,12:01
3142 28TH AVE S,44.945571,-93.231617,2,Longfellow,Longfellow,6,Howe,2,04/16/2018,12:02
3726 COLFAX AVE N,45.022935,-93.29186700000001,4,Camden,McKinley,1,Howe,2,04/16/2018,12:02
2116 SHERIDAN AVE N,45.001157,-93.311738,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,12:02
2426 33RD ST E,44.943159,-93.236373,9,Powderhorn,Corcoran,6,Howe,2,04/16/2018,12:02
2 47TH ST W,44.917840999999996,-93.278153,11,Southwest,Tangletown,5,Howe,2,04/16/2018,12:03
3426 COLFAX AVE S,44.940568,-93.292178,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:03
1010 34TH ST W,44.941342999999996,-93.294128,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:03
3118 PLEASANT AVE,44.945908,-93.28304200000001,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,12:03
2632 HUMBOLDT AVE S,44.954390000000004,-93.29893,7,Calhoun Isle,East Isles,3,Howe,2,04/16/2018,12:03
930 17TH AVE SE,44.985634000000005,-93.228572,2,University,Como,4,Howe,2,04/16/2018,12:03
220 12TH AVE NE,44.999853,-93.265242,3,Northeast,Sheridan,2,Howe,2,04/16/2018,12:03
3718 COLFAX AVE N,45.022737,-93.29193599999999,4,Camden,McKinley,1,Howe,2,04/16/2018,12:03
3720 COLFAX AVE N,45.022767,-93.291886,4,Camden,McKinley,1,Howe,2,04/16/2018,12:03
2512 STEVENS AVE S,44.956711,-93.275566,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,12:03
3418 COLFAX AVE S,44.940639000000004,-93.291961,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:04
1012 34TH ST W,44.941338,-93.294195,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:04
458 BUCHANAN ST NE,44.995014000000005,-93.239749,3,Northeast,Beltrami,2,Howe,2,04/16/2018,12:04
216 12TH AVE NE,44.999845,-93.265283,3,Northeast,Sheridan,2,Howe,2,04/16/2018,12:04
2508 STEVENS AVE S,44.956948,-93.275631,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,12:04
3414 COLFAX AVE S,44.940868,-93.291914,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:05
1016 34TH ST W,44.941368,-93.29443,10,Calhoun Isle,South Uptown,5,Howe,2,04/16/2018,12:05
3244 ELLIOT AVE,44.943205999999996,-93.261206,9,Powderhorn,Powderhorn Park,6,Howe,2,04/16/2018,12:05
3124 PLEASANT AVE,44.945744,-93.283057,8,Powderhorn,Lyndale,5,Howe,2,04/16/2018,12:05
3108 OAKLAND AVE S,44.946217,-93.26643,9,Powderhorn,Central,5,Howe,2,04/16/2018,12:05
1800 CLINTON AVE S,44.965115999999995,-93.27148199999999,6,Central,Steven's Square - Loring Heights,3,Howe,2,04/16/2018,12:05
928 17TH AVE SE,44.985634000000005,-93.22855200000001,2,University,Como,4,Howe,2,04/16/2018,12:05
1024 JAMES AVE N,44.988207,-93.300691,5,Near North,Near - North,1,Howe,2,04/16/2018,12:05
212 12TH AVE NE,44.999811,-93.265522,3,Northeast,Sheridan,2,Howe,2,04/16/2018,12:05
3542 COLFAX AVE N,45.02003,-93.291786,4,Camden,McKinley,1,Howe,2,04/16/2018,12:05
