Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Date,Time,Emergency
106 14TH ST W,44.968471,-93.27974499999999,7,Central,Loring Park,3,2,01/29/2019,00:00,Quincy
114 14TH ST W,44.968293,-93.279739,7,Central,Loring Park,3,2,01/29/2019,00:00,Quincy
118 14TH ST W,44.968638,-93.280807,7,Central,Loring Park,3,2,01/29/2019,00:00,Quincy
120 14TH ST W,44.968641999999996,-93.28068499999999,7,Central,Loring Park,3,2,01/29/2019,00:00,Quincy
124 14TH ST W,44.968689000000005,-93.280856,7,Central,Loring Park,3,2,01/29/2019,00:00,Quincy
1302 LINDEN AVE,44.975184999999996,-93.281896,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
729 15TH ST E,44.968014000000004,-93.263042,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
725 15TH ST E,44.967878999999996,-93.263302,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
722 15TH ST E,44.967743,-93.26352,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
30 34TH ST W,44.94154,-93.279495,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
28 34TH ST W,44.941384,-93.279209,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
26 34TH ST W,44.941489000000004,-93.279425,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
24 34TH ST W,44.941497,-93.279274,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
22 34TH ST W,44.941404,-93.278976,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
20 34TH ST W,44.941352,-93.278988,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
14 34TH ST W,44.941325,-93.278758,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
10 34TH ST W,44.94146,-93.27855699999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
8 34TH ST W,44.941653,-93.27811700000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
6 34TH ST W,44.941359999999996,-93.278375,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
104 34TH ST E,44.941599,-93.276337,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
110 34TH ST E,44.941547,-93.27623,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
112 34TH ST E,44.941435999999996,-93.275751,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
116 34TH ST E,44.941434,-93.275612,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
118 34TH ST E,44.941431,-93.275664,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
118 33RD ST E,44.943011,-93.27550600000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
114 33RD ST E,44.943062,-93.275889,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
106 33RD ST E,44.943108,-93.276269,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
102 33RD ST E,44.943125,-93.27622099999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
102 33RD ST E,44.943103,-93.276682,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
18 33RD ST E,44.942969,-93.2774,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
12 33RD ST E,44.943102,-93.277731,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
12 33RD ST W,44.942803999999995,-93.278458,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
18 33RD ST W,44.942584000000004,-93.278622,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
26 33RD ST W,44.942807,-93.278862,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
104 33RD ST W,44.942847,-93.280142,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
106 33RD ST W,44.942902000000004,-93.280164,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
206 33RD ST W,44.942975,-93.28161999999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
3240 23RD AVE S,44.944815000000006,-93.235895,9,Longfellow,Longfellow,6,1,01/28/2019,00:00,Quincy
3243 23RD AVE S,44.944815000000006,-93.235895,9,Longfellow,Longfellow,6,1,01/28/2019,00:00,Quincy
3331 23RD AVE S,44.944815000000006,-93.235895,9,Longfellow,Longfellow,6,1,01/28/2019,00:00,Quincy
3441 23RD AVE S,44.944815000000006,-93.235895,9,Longfellow,Longfellow,6,1,01/28/2019,00:00,Quincy
3208 BLOOMINGTON AVE,44.950086,-93.24531999999999,9,Phillips,East Phillips,3,1,01/28/2019,00:00,Quincy
3205 BLOOMINGTON AVE,44.950086,-93.24531999999999,9,Phillips,East Phillips,3,1,01/28/2019,00:00,Quincy
3255 BLOOMINGTON AVE,44.948227,-93.259463,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3320 BLOOMINGTON AVE,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3338 BLOOMINGTON AVE,44.948227,-93.259463,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3406 BLOOMINGTON AVE,44.948227,-93.259463,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3408 BLOOMINGTON AVE,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3412 BLOOMINGTON AVE,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3421 BLOOMINGTON AVE,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3737 BLOOMINGTON AVE,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3737 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3944 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
4009 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
4011 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
4011 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
4013 BLOOMINGTON AVE,44.934777000000004,-93.250663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
4228 BLOOMINGTON AVE,44.925012,-93.255691,11,Nokomis,Northrop,6,1,01/28/2019,00:00,Quincy
5130 BLOOMINGTON AVE,44.925012,-93.255691,11,Nokomis,Northrop,6,1,01/28/2019,00:00,Quincy
6023 CHICAGO AVE S,44.904968,-93.27329399999999,11,Nokomis,Page,5,1,01/28/2019,00:00,Quincy
6021 CHICAGO AVE S,44.904968,-93.27329399999999,11,Nokomis,Page,5,1,01/28/2019,00:00,Quincy
6019 CHICAGO AVE S,44.892314,-93.277068,11,Southwest,Windom,5,1,01/28/2019,00:00,Quincy
4644 CHICAGO AVE S,44.916658,-93.262292,11,Nokomis,Northrop,6,1,01/28/2019,00:00,Quincy
4624 CHICAGO AVE S,44.916658,-93.262292,11,Nokomis,Northrop,6,1,01/28/2019,00:00,Quincy
4608 CHICAGO AVE S,44.916658,-93.262292,11,Nokomis,Northrop,6,1,01/28/2019,00:00,Quincy
4019 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3942 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3919 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3917 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3809 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3814 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3814 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3719 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3719 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3642 CHICAGO AVE S,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3630 CHICAGO AVE S,44.939846,-93.256948,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3428 CHICAGO AVE S,44.935047,-93.261663,9,Powderhorn,Powderhorn Park,6,1,01/28/2019,00:00,Quincy
3620 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3616 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3542 CHICAGO AVE S,44.941025,-93.266692,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3536 CHICAGO AVE S,44.941025,-93.266692,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3532 CHICAGO AVE S,44.941025,-93.266692,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3412 CHICAGO AVE S,44.941025,-93.266692,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3320 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3320 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3318 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3316 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3310 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
3241 CHICAGO AVE S,44.942599,-93.262606,9,Powderhorn,Central,5,1,01/28/2019,00:00,Quincy
2642 3RD AVE S,44.954128000000004,-93.272846,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2644 3RD AVE S,44.953958,-93.27280999999999,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2646 3RD AVE S,44.953907,-93.27282199999999,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2648 3RD AVE S,44.953934000000004,-93.272829,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2700 3RD AVE S,44.953594,-93.272852,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2704 3RD AVE S,44.953527,-93.27284399999999,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2708 3RD AVE S,44.953445,-93.27286,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2710 3RD AVE S,44.953396000000005,-93.27284399999999,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2710 3RD AVE S,44.953388000000004,-93.272832,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
3136 ALDRICH AVE S,44.945297,-93.289237,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3150 ALDRICH AVE S,44.944986,-93.289265,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3220 ALDRICH AVE S,44.944098,-93.289427,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3236 ALDRICH AVE S,44.943376,-93.289661,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3240 ALDRICH AVE S,44.943441,-93.289558,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3432 ALDRICH AVE S,44.94012,-93.28945300000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3440 ALDRICH AVE S,44.939828999999996,-93.289495,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3508 ALDRICH AVE S,44.939144,-93.289372,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3516 ALDRICH AVE S,44.938659,-93.289472,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3524 ALDRICH AVE S,44.938824,-93.289477,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3548 ALDRICH AVE S,44.937981,-93.289408,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3614 ALDRICH AVE S,44.93691,-93.289404,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3622 ALDRICH AVE S,44.937049,-93.28952,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3624 ALDRICH AVE S,44.936803999999995,-93.289459,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3710 ALDRICH AVE S,44.935491,-93.289682,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3720 ALDRICH AVE S,44.935072,-93.289511,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3722 ALDRICH AVE S,44.93507,-93.289467,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3724 ALDRICH AVE S,44.935044,-93.289454,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
2108 TALMAGE AVE SE,44.989693,-93.22223199999999,1,University,Como,4,2,01/29/2019,00:00,Quincy
1008 25TH AVE SE,44.988184999999994,-93.21773,1,University,Como,4,2,01/29/2019,00:00,Quincy
880 26TH AVE SE,44.990621999999995,-93.21645799999999,1,University,Como,4,2,01/29/2019,00:00,Quincy
880 27TH AVE SE,44.99026,-93.215144,1,University,Como,4,2,01/29/2019,00:00,Quincy
880 27TH AVE SE,44.985808,-93.215307,2,University,Como,4,2,01/29/2019,00:00,Quincy
6120 WENTWORTH AVE S,44.891563,-93.280618,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
6110 WENTWORTH AVE S,44.892133,-93.28074699999999,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
6100 WENTWORTH AVE S,44.892148,-93.280704,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
6046 BLAISDELL AVE S,44.892503000000005,-93.279363,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5402 BLAISDELL AVE S,44.904267,-93.279415,11,Southwest,Tangletown,5,2,01/29/2019,00:00,Quincy
5400 BLAISDELL AVE S,44.904121999999994,-93.279158,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5452 BLAISDELL AVE S,44.903416,-93.279187,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5532 WENTWORTH AVE S,44.901903000000004,-93.280804,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5412 WENTWORTH AVE S,44.903868,-93.280676,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5628 PILLSBURY AVE,44.900521000000005,-93.282045,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5548 PLEASANT AVE,44.902678,-93.283171,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5500 PLEASANT AVE,44.904784,-93.284118,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5304 HARRIET AVE S,44.905885999999995,-93.285709,11,Southwest,Tangletown,5,2,01/29/2019,00:00,Quincy
5720 GRAND AVE S,44.899006,-93.284511,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5524 GRAND AVE S,44.902407000000004,-93.284527,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
5612 HARRIET AVE S,44.900991999999995,-93.28574,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
4756 COLUMBUS AVE S,44.918329,-93.26406999999999,8,Nokomis,Field,5,2,01/29/2019,00:00,Quincy
4604 COLUMBUS AVE S,44.919954,-93.263817,8,Nokomis,Regina,5,2,01/29/2019,00:00,Quincy
4416 COLUMBUS AVE S,44.922733,-93.263862,8,Nokomis,Regina,5,2,01/29/2019,00:00,Quincy
4346 COLUMBUS AVE S,44.923725,-93.263807,8,Nokomis,Regina,5,2,01/29/2019,00:00,Quincy
3746 COLUMBUS AVE S,44.934719,-93.263676,8,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3738 COLUMBUS AVE S,44.935276,-93.26374200000001,8,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3536 COLUMBUS AVE S,44.938179999999996,-93.263756,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
2320 LAKE PL,44.959501,-93.29988399999999,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2324 LAKE PL,44.959113,-93.300285,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2328 LAKE PL,44.959003,-93.300404,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2400 LAKE PL,44.959027,-93.300454,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2402 LAKE PL,44.958952000000004,-93.300625,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2410 LAKE PL,44.958935,-93.300556,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2890 KNOX AVE S,44.949492,-93.30489399999999,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2894 KNOX AVE S,44.949467999999996,-93.30484100000001,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2894 KNOX AVE S,44.949441,-93.304869,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
2914 KNOX AVE S,44.949102,-93.30498100000001,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2910 KNOX AVE S,44.949045,-93.305071,7,Calhoun Isle,Cedar - Isles - Dean,3,2,01/29/2019,00:00,Quincy
2886 JAMES AVE S,44.949574,-93.303402,7,Calhoun Isle,East Isles,3,2,01/29/2019,00:00,Quincy
332 16TH AVE NE,45.004191,-93.262726,3,Northeast,Sheridan,2,2,01/29/2019,00:00,Quincy
336 16TH AVE NE,45.004185,-93.262765,3,Northeast,Sheridan,2,2,01/29/2019,00:00,Quincy
56 16TH AVE NE,45.003898,-93.269746,3,Northeast,Sheridan,2,2,01/29/2019,00:00,Quincy
116 14TH AVE NE,45.001309,-93.270336,3,Northeast,Sheridan,2,2,01/29/2019,00:00,Quincy
338 14TH AVE NE,45.002016,-93.262621,3,Northeast,Sheridan,2,2,01/29/2019,00:00,Quincy
2538 HOWARD ST NE,45.01441,-93.253064,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
2418 QUINCY ST NE,45.012753000000004,-93.250886,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
2524 JACKSON ST NE,45.013918,-93.24911999999999,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
2512 JACKSON ST NE,45.013504,-93.24910799999999,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
2502 JACKSON ST NE,45.013451,-93.249131,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
2216 JACKSON ST NE,45.010529999999996,-93.24914,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
1904 JACKSON ST NE,45.008101,-93.24916400000001,1,Northeast,Holland,2,2,01/29/2019,00:00,Quincy
1812 JACKSON ST NE,45.006347999999996,-93.24919,1,Northeast,Logan Park,2,2,01/29/2019,00:00,Quincy
1810 JACKSON ST NE,45.006212,-93.249156,1,Northeast,Logan Park,2,2,01/29/2019,00:00,Quincy
1712 FILLMORE ST NE,45.005328000000006,-93.242305,1,Northeast,Northeast Park,2,2,01/29/2019,00:00,Quincy
622 VAN BUREN ST NE,44.995734000000006,-93.24866999999999,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
340 QUINCY ST NE,44.99472,-93.251164,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
338 QUINCY ST NE,44.99472,-93.251188,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
632 QUINCY ST NE,44.996266,-93.25121700000001,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
638 QUINCY ST NE,44.996245,-93.251222,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
736 QUINCY ST NE,44.99803,-93.251211,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
716 15TH ST E,44.967690999999995,-93.264209,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
714 15TH ST E,44.9679,-93.264516,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
630 15TH ST E,44.968003,-93.265749,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
628 15TH ST E,44.968030999999996,-93.266058,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
624 15TH ST E,44.968199,-93.266094,7,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
625 15TH ST E,44.967995,-93.266164,6,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
608 15TH ST E,44.968077,-93.26703499999999,7,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
606 15TH ST E,44.968094,-93.26714,7,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
605 15TH ST E,44.968106,-93.267375,7,Central,Elliot Park,3,1,01/28/2019,00:00,Quincy
6 15TH ST E,44.968098,-93.278152,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
14 15TH ST W,44.967805,-93.27856899999999,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
21 15TH ST W,44.967806,-93.278674,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
23 15TH ST W,44.967775,-93.278835,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
27 15TH ST W,44.96774,-93.278959,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
31 15TH ST W,44.967789,-93.27901,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
101 15TH ST W,44.96759,-93.279677,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
113 15TH ST W,44.967659000000005,-93.27996,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
216 15TH ST W,44.967746000000005,-93.28149599999999,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
300 15TH ST W,44.967703,-93.282219,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
308 15TH ST W,44.967774,-93.28247900000001,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
315 15TH ST W,44.967871,-93.283202,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
333 15TH ST W,44.967721000000004,-93.28384100000001,7,Central,Loring Park,3,1,01/28/2019,00:00,Quincy
226 33RD ST W,44.942976,-93.282627,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
302 33RD ST W,44.942935,-93.283465,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
310 33RD ST W,44.942964,-93.283726,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
414 33RD ST W,44.94294,-93.28523299999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
702 33RD ST W,44.942992,-93.288628,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
704 33RD ST W,44.943014,-93.28871600000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
806 33RD ST W,44.942809999999994,-93.29007,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
806 33RD ST W,44.942929,-93.29045,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
814 33RD ST W,44.942902000000004,-93.29044499999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
816 33RD ST W,44.942745,-93.29050500000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1002 33RD ST W,44.942951,-93.292064,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1104 33RD ST W,44.942926,-93.293077,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1102 33RD ST W,44.942848,-93.293341,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1106 33RD ST W,44.942868,-93.293508,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1220 33RD ST W,44.94293,-93.29570600000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1402 33RD ST W,44.942968,-93.297302,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1308 33RD ST W,44.942939,-93.295958,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1302 33RD ST W,44.942939,-93.295958,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1404 33RD ST W,44.942954,-93.298118,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1326 33RD ST W,44.942908,-93.29813100000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1454 33RD ST W,44.942908,-93.299777,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1502 33RD ST W,44.943211,-93.30109499999999,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1516 33RD ST W,44.943195,-93.301733,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1620 32ND ST W,44.94463,-93.302965,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1606 32ND ST W,44.944746,-93.302318,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1602 32ND ST W,44.944733,-93.302322,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1600 32ND ST W,44.944828,-93.30212900000001,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1440 32ND ST W,44.944856,-93.29939300000001,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1440 32ND ST W,44.944811,-93.299277,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1438 32ND ST W,44.944821999999995,-93.29919,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1436 32ND ST W,44.944835999999995,-93.298964,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
1434 32ND ST W,44.944794,-93.29821700000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1428 32ND ST W,44.944703999999994,-93.29823499999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1414 32ND ST W,44.944833,-93.297533,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1412 32ND ST W,44.944807,-93.29745600000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1322 32ND ST W,44.944777,-93.296835,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1312 32ND ST W,44.944827000000004,-93.296593,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
1310 32ND ST W,44.944814,-93.29660799999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3726 ALDRICH AVE S,44.93503,-93.289452,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
3728 ALDRICH AVE S,44.935037,-93.28943100000001,10,Southwest,East Harriet,5,2,01/29/2019,00:00,Quincy
